date,cpi,reference_date
2003-01-01,50.42,2018-12-01
2003-02-01,50.98,2018-12-01
2003-03-01,51.51,2018-12-01
2003-04-01,52.1,2018-12-01
2003-05-01,52.36,2018-12-01
2003-06-01,52.33,2018-12-01
2003-07-01,52.26,2018-12-01
2003-08-01,52.42,2018-12-01
2003-09-01,52.53,2018-12-01
2003-10-01,52.56,2018-12-01
2003-11-01,52.75,2018-12-01
2003-12-01,53.07,2018-12-01
2004-01-01,53.54,2018-12-01
2004-02-01,54.18,2018-12-01
2004-03-01,54.71,2018-12-01
2004-04-01,54.96,2018-12-01
2004-05-01,55.17,2018-12-01
2004-06-01,55.51,2018-12-01
2004-07-01,55.49,2018-12-01
2004-08-01,55.51,2018-12-01
2004-09-01,55.67,2018-12-01
2004-10-01,55.66,2018-12-01
2004-11-01,55.82,2018-12-01
2004-12-01,55.99,2018-12-01
2005-01-01,56.45,2018-12-01
2005-02-01,57.02,2018-12-01
2005-03-01,57.46,2018-12-01
2005-04-01,57.72,2018-12-01
2005-05-01,57.95,2018-12-01
2005-06-01,58.18,2018-12-01
2005-07-01,58.21,2018-12-01
2005-08-01,58.21,2018-12-01
2005-09-01,58.46,2018-12-01
2005-10-01,58.6,2018-12-01
2005-11-01,58.66,2018-12-01
2005-12-01,58.7,2018-12-01
2006-01-01,59.02,2018-12-01
2006-02-01,59.41,2018-12-01
2006-03-01,59.83,2018-12-01
2006-04-01,60.09,2018-12-01
2006-05-01,60.29,2018-12-01
2006-06-01,60.48,2018-12-01
2006-07-01,60.73,2018-12-01
2006-08-01,60.96,2018-12-01
2006-09-01,61.14,2018-12-01
2006-10-01,61.05,2018-12-01
2006-11-01,61.19,2018-12-01
2006-12-01,61.33,2018-12-01
2007-01-01,61.8,2018-12-01
2007-02-01,62.53,2018-12-01
2007-03-01,63.29,2018-12-01
2007-04-01,63.85,2018-12-01
2007-05-01,64.05,2018-12-01
2007-06-01,64.12,2018-12-01
2007-07-01,64.23,2018-12-01
2007-08-01,64.14,2018-12-01
2007-09-01,64.2,2018-12-01
2007-10-01,64.2,2018-12-01
2007-11-01,64.51,2018-12-01
2007-12-01,64.82,2018-12-01
2008-01-01,65.51,2018-12-01
2008-02-01,66.5,2018-12-01
2008-03-01,67.04,2018-12-01
2008-04-01,67.51,2018-12-01
2008-05-01,68.14,2018-12-01
2008-06-01,68.73,2018-12-01
2008-07-01,69.06,2018-12-01
2008-08-01,69.19,2018-12-01
2008-09-01,69.06,2018-12-01
2008-10-01,69.3,2018-12-01
2008-11-01,69.49,2018-12-01
2008-12-01,69.8,2018-12-01
2009-01-01,70.21,2018-12-01
2009-02-01,70.8,2018-12-01
2009-03-01,71.15,2018-12-01
2009-04-01,71.38,2018-12-01
2009-05-01,71.39,2018-12-01
2009-06-01,71.35,2018-12-01
2009-07-01,71.32,2018-12-01
2009-08-01,71.35,2018-12-01
2009-09-01,71.28,2018-12-01
2009-10-01,71.19,2018-12-01
2009-11-01,71.14,2018-12-01
2009-12-01,71.2,2018-12-01
2010-01-01,71.69,2018-12-01
2010-02-01,72.28,2018-12-01
2010-03-01,72.46,2018-12-01
2010-04-01,72.79,2018-12-01
2010-05-01,72.87,2018-12-01
2010-06-01,72.95,2018-12-01
2010-07-01,72.92,2018-12-01
2010-08-01,73.0,2018-12-01
2010-09-01,72.9,2018-12-01
2010-10-01,72.84,2018-12-01
2010-11-01,72.98,2018-12-01
2010-12-01,73.45,2018-12-01
2011-01-01,74.12,2018-12-01
2011-02-01,74.57,2018-12-01
2011-03-01,74.77,2018-12-01
2011-04-01,74.86,2018-12-01
2011-05-01,75.07,2018-12-01
2011-06-01,75.31,2018-12-01
2011-07-01,75.42,2018-12-01
2011-08-01,75.39,2018-12-01
