date,reference_date,cpi
1991-01-01,2021-12-01,7.39
1991-02-01,2021-12-01,8.09
1991-03-01,2021-12-01,8.71
1991-04-01,2021-12-01,9.22
1991-05-01,2021-12-01,9.93
1991-06-01,2021-12-01,10.84
1991-07-01,2021-12-01,11.83
1991-08-01,2021-12-01,12.68
1991-09-01,2021-12-01,13.39
1991-10-01,2021-12-01,13.92
1991-11-01,2021-12-01,14.47
1991-12-01,2021-12-01,15.01
1992-01-01,2021-12-01,15.54
1992-02-01,2021-12-01,16.28
1992-03-01,2021-12-01,17.49
1992-04-01,2021-12-01,18.04
1992-05-01,2021-12-01,18.66
1992-06-01,2021-12-01,19.33
1992-07-01,2021-12-01,20.01
1992-08-01,2021-12-01,20.57
1992-09-01,2021-12-01,21.11
1992-10-01,2021-12-01,21.88
1992-11-01,2021-12-01,22.65
1992-12-01,2021-12-01,23.53
1993-01-01,2021-12-01,24.67
1993-02-01,2021-12-01,25.39
1993-03-01,2021-12-01,26.46
1993-04-01,2021-12-01,27.64
1993-05-01,2021-12-01,28.47
1993-06-01,2021-12-01,28.99
1993-07-01,2021-12-01,29.79
1993-08-01,2021-12-01,30.54
1993-09-01,2021-12-01,31.04
1993-10-01,2021-12-01,31.5
1993-11-01,2021-12-01,32.01
1993-12-01,2021-12-01,32.81
1994-01-01,2021-12-01,33.42
1994-02-01,2021-12-01,34.02
1994-03-01,2021-12-01,34.82
1994-04-01,2021-12-01,35.35
1994-05-01,2021-12-01,35.61
1994-06-01,2021-12-01,36.01
1994-07-01,2021-12-01,36.33
1994-08-01,2021-12-01,36.89
1994-09-01,2021-12-01,37.08
1994-10-01,2021-12-01,37.19
1994-11-01,2021-12-01,37.64
1994-12-01,2021-12-01,37.86
1995-01-01,2021-12-01,38.0
1995-02-01,2021-12-01,38.43
1995-03-01,2021-12-01,38.96
1995-04-01,2021-12-01,39.34
1995-05-01,2021-12-01,39.67
1995-06-01,2021-12-01,39.99
1995-07-01,2021-12-01,40.22
1995-08-01,2021-12-01,40.64
1995-09-01,2021-12-01,40.8
1995-10-01,2021-12-01,41.01
1995-11-01,2021-12-01,41.52
1995-12-01,2021-12-01,41.73
1996-01-01,2021-12-01,42.25
1996-02-01,2021-12-01,42.9
1996-03-01,2021-12-01,43.49
1996-04-01,2021-12-01,43.87
1996-05-01,2021-12-01,44.19
1996-06-01,2021-12-01,44.4
1996-07-01,2021-12-01,45.01
1996-08-01,2021-12-01,45.42
1996-09-01,2021-12-01,45.57
1996-10-01,2021-12-01,45.9
1996-11-01,2021-12-01,46.12
1996-12-01,2021-12-01,46.67
1997-01-01,2021-12-01,46.9
1997-02-01,2021-12-01,46.94
1997-03-01,2021-12-01,47.54
1997-04-01,2021-12-01,47.72
1997-05-01,2021-12-01,48.08
1997-06-01,2021-12-01,48.61
1997-07-01,2021-12-01,49.01
1997-08-01,2021-12-01,49.12
1997-09-01,2021-12-01,49.26
1997-10-01,2021-12-01,49.34
1997-11-01,2021-12-01,49.38
1997-12-01,2021-12-01,49.69
1998-01-01,2021-12-01,50.14
1998-02-01,2021-12-01,50.76
1998-03-01,2021-12-01,51.43
1998-04-01,2021-12-01,51.74
1998-05-01,2021-12-01,52.05
1998-06-01,2021-12-01,52.33
1998-07-01,2021-12-01,52.66
1998-08-01,2021-12-01,52.8
1998-09-01,2021-12-01,52.51
1998-10-01,2021-12-01,52.34
1998-11-01,2021-12-01,52.35
1998-12-01,2021-12-01,52.68
1999-01-01,2021-12-01,52.68
1999-02-01,2021-12-01,52.85
1999-03-01,2021-12-01,53.17
1999-04-01,2021-12-01,53.49
1999-05-01,2021-12-01,53.74
1999-06-01,2021-12-01,53.84
1999-07-01,2021-12-01,53.98
1999-08-01,2021-12-01,54.07
1999-09-01,2021-12-01,54.32
1999-10-01,2021-12-01,54.25
1999-11-01,2021-12-01,54.4
1999-12-01,2021-12-01,54.64
2000-01-01,2021-12-01,54.68
2000-02-01,2021-12-01,54.94
2000-03-01,2021-12-01,55.24
2000-04-01,2021-12-01,55.52
2000-05-01,2021-12-01,55.53
2000-06-01,2021-12-01,55.56
2000-07-01,2021-12-01,55.85
2000-08-01,2021-12-01,56.11
2000-09-01,2021-12-01,56.43
2000-10-01,2021-12-01,56.56
2000-11-01,2021-12-01,56.59
2000-12-01,2021-12-01,56.68
2001-01-01,2021-12-01,56.79
2001-02-01,2021-12-01,56.93
2001-03-01,2021-12-01,57.21
2001-04-01,2021-12-01,56.98
2001-05-01,2021-12-01,56.99
2001-06-01,2021-12-01,56.96
2001-07-01,2021-12-01,57.06
2001-08-01,2021-12-01,56.88
2001-09-01,2021-12-01,56.92
2001-10-01,2021-12-01,56.94
2001-11-01,2021-12-01,56.66
2001-12-01,2021-12-01,56.61
2002-01-01,2021-12-01,56.31
2002-02-01,2021-12-01,56.29
2002-03-01,2021-12-01,56.59
2002-04-01,2021-12-01,57.01
