date,reference_date,cpi
1991-01-01,2021-12-01,7.39298050571451
1991-02-01,2021-12-01,8.08955824767879
1991-03-01,2021-12-01,8.71246556304161
1991-04-01,2021-12-01,9.22127451195124
1991-05-01,2021-12-01,9.92567344330508
1991-06-01,2021-12-01,10.8447933418089
1991-07-01,2021-12-01,11.8270074577847
1991-08-01,2021-12-01,12.6832829707029
1991-09-01,2021-12-01,13.3884905818365
1991-10-01,2021-12-01,13.9175985764615
1991-11-01,2021-12-01,14.4687389736942
1991-12-01,2021-12-01,15.0098170510304
1992-01-01,2021-12-01,15.541168857285
1992-02-01,2021-12-01,16.2778308457628
1992-03-01,2021-12-01,17.4895080708719
1992-04-01,2021-12-01,18.0444448935049
1992-05-01,2021-12-01,18.6647808571102
1992-06-01,2021-12-01,19.334264303319
1992-07-01,2021-12-01,20.0065405487239
1992-08-01,2021-12-01,20.5720121227963
1992-09-01,2021-12-01,21.1109461661511
1992-10-01,2021-12-01,21.8790040569088
1992-11-01,2021-12-01,22.6535228993772
1992-12-01,2021-12-01,23.5254745156091
1993-01-01,2021-12-01,24.6654936628741
1993-02-01,2021-12-01,25.3890875713495
1993-03-01,2021-12-01,26.4646821768159
1993-04-01,2021-12-01,27.6363061323495
1993-05-01,2021-12-01,28.4744496335778
1993-06-01,2021-12-01,28.9918385295958
1993-07-01,2021-12-01,29.7859792681172
1993-08-01,2021-12-01,30.5407141949535
1993-09-01,2021-12-01,31.0357189294996
1993-10-01,2021-12-01,31.5037587490781
1993-11-01,2021-12-01,32.0090933839957
1993-12-01,2021-12-01,32.8132621196116
1994-01-01,2021-12-01,33.416049523395
1994-02-01,2021-12-01,34.0244531140038
1994-03-01,2021-12-01,34.8153279968242
1994-04-01,2021-12-01,35.3532063503654
1994-05-01,2021-12-01,35.6062445407082
1994-06-01,2021-12-01,36.0123683920927
1994-07-01,2021-12-01,36.3328426516414
1994-08-01,2021-12-01,36.8897996892321
1994-09-01,2021-12-01,37.07983454753
1994-10-01,2021-12-01,37.1861521929894
1994-11-01,2021-12-01,37.6401175266935
1994-12-01,2021-12-01,37.8611648806928
1995-01-01,2021-12-01,38.0020799563714
1995-02-01,2021-12-01,38.4338941025897
1995-03-01,2021-12-01,38.961214848278
1995-04-01,2021-12-01,39.344814645658
1995-05-01,2021-12-01,39.673229503918
1995-06-01,2021-12-01,39.9940724638791
1995-07-01,2021-12-01,40.222100129075
1995-08-01,2021-12-01,40.6395169060839
1995-09-01,2021-12-01,40.7986114811906
1995-10-01,2021-12-01,41.0063036869201
1995-11-01,2021-12-01,41.5160379089848
1995-12-01,2021-12-01,41.7336780823374
1996-01-01,2021-12-01,42.2522312572031
1996-02-01,2021-12-01,42.9002836819856
1996-03-01,2021-12-01,43.4923762718663
1996-04-01,2021-12-01,43.87130378097
1996-05-01,2021-12-01,44.1904664113681
1996-06-01,2021-12-01,44.3961623578029
1996-07-01,2021-12-01,45.0061657332517
1996-08-01,2021-12-01,45.4221771437171
1996-09-01,2021-12-01,45.5694017874693
1996-10-01,2021-12-01,45.9041338516646
1996-11-01,2021-12-01,46.1189535710152
1996-12-01,2021-12-01,46.6749433775806
1997-01-01,2021-12-01,46.8995048422897
1997-02-01,2021-12-01,46.9412138160557
1997-03-01,2021-12-01,47.5392549114592
1997-04-01,2021-12-01,47.7233502907981
1997-05-01,2021-12-01,48.0837164073912
1997-06-01,2021-12-01,48.6059947756888
1997-07-01,2021-12-01,49.0087954629047
1997-08-01,2021-12-01,49.119921489448
1997-09-01,2021-12-01,49.2635861953205
1997-10-01,2021-12-01,49.3382310172215
1997-11-01,2021-12-01,49.3765411425534
1997-12-01,2021-12-01,49.691557802778
1998-01-01,2021-12-01,50.1419166770814
1998-02-01,2021-12-01,50.7609674468296
1998-03-01,2021-12-01,51.4304225486563
1998-04-01,2021-12-01,51.7447184724816
1998-05-01,2021-12-01,52.0518042549097
1998-06-01,2021-12-01,52.3278782359875
1998-07-01,2021-12-01,52.6565319510118
1998-08-01,2021-12-01,52.7957764180424
1998-09-01,2021-12-01,52.511745868179
1998-10-01,2021-12-01,52.3359014624748
1998-11-01,2021-12-01,52.3518180718014
1998-12-01,2021-12-01,52.6764271919068
